"You can put social login button block in any preferred position by using these following codes. Please note that social login buttons still work normally according to your settings in General Configuration tab if codes are not implemented.","You can put social login button block in any preferred position by using these following codes. Please note that social login buttons still work normally according to your settings in General Configuration tab if codes are not implemented."
"Add code below to a template file","Add code below to a template file"
"You can put a social login button block on a CMS page. Here is an example that we put a login block with 4 buttons. Replace ""4"" in this code with the number of buttons you want to show.","You can put a social login button block on a CMS page. Here is an example that we put a login block with 4 buttons. Replace ""4"" in this code with the number of buttons you want to show."
"Please copy and paste the code below to one of xml layout files where you want to show the social button block. Replace ""4"" in this code with the number of buttons you want to show.","Please copy and paste the code below to one of xml layout files where you want to show the social button block. Replace ""4"" in this code with the number of buttons you want to show."
"Below is a code example of a block with 4 social login buttons shown on the left of the category page. Replace ""4"" in this code with the number of buttons you want to show.","Below is a code example of a block with 4 social login buttons shown on the left of the category page. Replace ""4"" in this code with the number of buttons you want to show."
"We\'ll email you a link to reset your password.","We\'ll email you a link to reset your password."
"Left to Right","Left to Right"
"Right to Left","Right to Left"
No,No
Yes,Yes
Header,Header
"Above customer login form","Above customer login form"
"Below customer login form","Below customer login form"
"Above customer registration form","Above customer registration form"
"Below customer registration form","Below customer registration form"
"Show popup when click login","Show popup when click login"
"Account Page","Account Page"
"Cart Page","Cart Page"
"Home Page","Home Page"
"Current Page","Current Page"
"Custom Page","Custom Page"
"Other Social Login","Other Social Login"
"Login with AOL","Login with AOL"
"Enter your AOL username","Enter your AOL username"
"Enter AOL Name","Enter AOL Name"
"* Required Fields","* Required Fields"
Sumbit,Sumbit
"Login with Clavid Name","Login with Clavid Name"
"Enter your Clavid username","Enter your Clavid username"
"Enter Clavid Name","Enter Clavid Name"
"Login with Live Journal","Login with Live Journal"
"Enter your Live Journal username","Enter your Live Journal username"
"Enter my username","Enter my username"
"Login with myOpenId","Login with myOpenId"
"Enter your MyOpenId username","Enter your MyOpenId username"
"Login with Wordpress","Login with Wordpress"
"Enter your Wordpress username","Enter your Wordpress username"
"Login by Amazon","Login by Amazon"
"Amazon Sign in","Amazon Sign in"
"Login by AOL","Login by AOL"
"AOL Sign in","AOL Sign in"
"Login by Clavid","Login by Clavid"
"Clavid Sign in","Clavid Sign in"
"Login by Facebook","Login by Facebook"
"Facebook Sign in","Facebook Sign in"
"Login by FoursQuare","Login by FoursQuare"
"FoursQuare Sign in","FoursQuare Sign in"
"Login by Google","Login by Google"
"Google Sign in","Google Sign in"
"Login by Instagram","Login by Instagram"
"Instagram Sign in","Instagram Sign in"
"Login by Linkedin","Login by Linkedin"
"Linkedin Sign in","Linkedin Sign in"
"Login by Live","Login by Live"
"Live Sign in","Live Sign in"
"Login by LiveJournal","Login by LiveJournal"
"Live Journal","Live Journal"
"Login by MySpace","Login by MySpace"
"MySpace Sign in","MySpace Sign in"
"Login by MyOpenId","Login by MyOpenId"
"My OpenId Sign in","My OpenId Sign in"
"Login by Orange","Login by Orange"
"Orange Sign in","Orange Sign in"
"Login by Persona","Login by Persona"
"Persona Sign in","Persona Sign in"
"Login by StackExchange","Login by StackExchange"
StackExchange,StackExchange
"Login by Twitter","Login by Twitter"
"Twitter Sign in","Twitter Sign in"
"Login by Vk","Login by Vk"
"Vk Sign in","Vk Sign in"
"Login by WordPress","Login by WordPress"
"WordPress Sign in","WordPress Sign in"
"Login by Yahoo","Login by Yahoo"
"Yahoo Sign in","Yahoo Sign in"
"Other login","Other login"
"Sign in","Sign in"
"Please enter your email below and we will send you a new password.","Please enter your email below and we will send you a new password."
"Email Address ","Email Address "
"Password ","Password "
Login,Login
Forgotten?,Forgotten?
"Register Now","Register Now"
"Send Password","Send Password"
"Back to Form Login","Back to Form Login"
"Create New Account","Create New Account"
"First Name ","First Name "
"Last Name ","Last Name "
"Email ","Email "
"New Password ","New Password "
"Confirm Password","Confirm Password"
Submit,Submit
"Sign in with","Sign in with"
"Other Login","Other Login"
"Social Login","Social Login"
Settings,Settings
